,venue_name,type
0,Villa Maya,Restaurant
1,Paragon Restaurant,Restaurant
2,Longtime,Restaurant
3,The Olive Restaurant,Restaurant
4,O Café,Restaurant
5,Supreme Upper Crust,Restaurant
6,Mothers Veg Plaza,Restaurant
7,The Yellow Chilli,Restaurant
8,Zam Zam Restaurant,Restaurant
9,Bab Arabia,Restaurant
10,The Terrace,Restaurant
11,Pankayam,Restaurant
12,Lantern Grove Restaurant,Restaurant
13,Imperial Kitchen Kowdiar,Restaurant
14,Zam Zam Restaurant (Palayam),Restaurant
15,Park Malabar Restaurant,Restaurant
16,Imperial Kitchen Venpalavattom,Restaurant
17,Kappithan Restaurant,Restaurant
18,Thakkaaram Restaurant,Restaurant
19,BLND Restobar,Restaurant
20,Le Arabia Restaurant,Restaurant
21,PARAGON RESTAURANT LULU TRIVANDRUM,Restaurant
22,Sri Arulakam Restaurant,Restaurant
23,Ariya Nivaas Restaurant,Restaurant
24,Le Lumiere Restaurant,Restaurant
25,Agrahaara Restaurant,Restaurant
26,Velvet Dawn Cafe & Restaurant,Restaurant
27,Garden Grille & Bar Restaurant,Restaurant
28,Agastya Farm Pure Veg Restaurant,Restaurant
29,PLAV,Restaurant
30,Chaappi,Restaurant
31,Ruchi Veg Restaurant,Restaurant
32,Nadan Restaurant,Restaurant
33,Aasife Biriyani - Kesavadasapuram (Trivandrum),Restaurant
34,Oriental Spice,Restaurant
35,Al Taza - Trivandrum,Restaurant
36,Azad Star at Vazhuthacaud,Restaurant
37,Bait,Restaurant
38,North Bites,Restaurant
39,"Diners' Summit - Restaurant, North Indian, Naden food, buffet, vegetarian restaurant",Restaurant
40,Hoy Punjab Trivandrum,Restaurant
41,Good Morning Hotel,Restaurant
42,Label M Designers - Bridal Boutique - Trivandrum,Boutique
43,Mahek Designs,Boutique
44,SANTINNI Bridal Boutique | Bridal Boutique Trivandrum,Boutique
45,Aham Designer Boutique and Retail Outlet,Boutique
46,Silkyway Boutique,Boutique
47,Czarina,Boutique
48,LuLu Mall Thiruvananthapuram,Boutique
49,Poshak Readymade & Textiles,Boutique
50,Ethnic Weaves Boutique,Boutique
51,Julaha by Archana Nair,Boutique
52,Manyavar,Boutique
53,Shaara Weaves,Boutique
54,Pothys Textiles,Boutique
55,Mall of Travancore,Boutique
56,Olive pardha boutique,Boutique
57,RamachandraN Textiles,Boutique
58,Parthas Textiles,Boutique
59,Max Fashion,Boutique
60,BIBA (Trivandrum),Boutique
61,Cotton & More,Boutique
62,Aurelia (MG Road),Boutique
63,W For Woman,Boutique
64,Fashion Factory (Reliance),Boutique
65,Saphalyam Shopping Complex,Boutique
66,McAdil's Antiques,Boutique
67,Mini's Boutique,Boutique
68,Ene Blue Fashion Boutique,Boutique
69,Krishna Chips,Boutique
70,Belladonna,Boutique
71,Pink Boutique,Boutique
72,Thiruvananthapuram Int'l Airport,Boutique
73,New Pinch Dress Materials,Boutique
74,Zenzerro Cafe & Bakery,Boutique
75,Mamma Mia Bakers,Boutique
76,Santa Maria Homestay (Airport Boutique Homestay),Boutique
77,Kannanthura,Boutique
78,LADYHOOD,Boutique
79,Anjali designer boutique,Boutique
80,Hotel Dimora Thiruvananthapura,Hotel
82,O by Tamara Trivandrum,Hotel
83,Cafe Jade - All Day Dining (2,Café
84,Zam Zam Bun Cafe,Café
85,Huddles Cafe,Café
86,Pathayam - Millets Café,Café
